teaching_rating,teaching_comment,course_rating,course_comment,exam_rating,exam_comment,lab_rating,lab_comment,library_rating,library_comment,extra_rating,extra_comment,teaching_comment_sentiment,course_comment_sentiment,exam_comment_sentiment,lab_comment_sentiment,library_comment_sentiment,extra_comment_sentiment,teaching_score,course_score,exam_score,lab_score,library_score,extra_score,overall_score
0.5,teacher are punctual but they should also give us the some practical knowledge other than theortical,0.5,content of courses are average,1.0,examination pattern is good,0.0,not satisfactory lab work must include latest technologies,0.5,library facilities are good but number of books are less,1.0,extracurricular activities are excellent and provides best platform to students,-0.125,-0.15,0.7,0.5,0.26666666666666666,1.0,0.25,0.24,0.8799999999999999,0.2,0.4066666666666667,1.0,0.4961111111111111
1.0,good,0.0,not good,1.0,good,1.0,good,0.0,not good,1.0,good,0.7,-0.35,0.7,0.7,-0.35,0.7,0.8799999999999999,-0.13999999999999999,0.8799999999999999,0.8799999999999999,-0.13999999999999999,0.8799999999999999,0.5399999999999999
1.0,excellent lectures are delivered by teachers and all teachers are very punctual,1.0,all courses material provide very good knowledge in depth,1.0,exam pattern is up to the mark and the cgpa depends on the various marks distributions like ca mte etc which is very nice as compare to other institutions paper checking does not depend on length of ques but on the material which is the best part of it,1.0,lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth,1.0,library facilities are excellent in terms of good techniques that are used over there,1.0,extra curricular activities also help students to divert their mind from their study for some time university plays an important role in this task,0.6,0.9099999999999999,0.41375,0.25,0.85,0.2,0.84,0.964,0.7655,0.7,0.94,0.6799999999999999,0.8149166666666666
1.0,good,0.0,content of course is perfectly in line with the teaching philosophy that is being perpetuated here ie crammingrote learning,0.0,again the university tests students of their ability to memorize stuff questions should emphasize more on concepts rather than testing brains cramming storage house,1.0,good,0.5,its the best thing i have seen in this universityalbeit the behaviour of library staff is unprofessional at times they are whimsically rude,0.0,complete wastage of time again this opinion is strictly personal and may not coincide with others,0.7,1.0,0.5,0.7,0.35,0.05,0.8799999999999999,0.4,0.2,0.8799999999999999,0.43999999999999995,0.020000000000000004,0.4699999999999999
1.0,teachers give us all the information required to improve the performance,1.0,content of courses improves my knowledge,1.0,examination pattern is good,1.0,practical work provides detail knowledge of theoretical work,1.0,library has huge collection of books from different authors,1.0,extracurricular activities increases mental and physical abilities,0.0,0.0,0.7,0.0,0.20000000000000004,-0.05,0.6,0.6,0.8799999999999999,0.6,0.6799999999999999,0.58,0.6566666666666667
1.0,yes,1.0,yes,1.0,yes,1.0,yes,1.0,yes,1.0,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1.0,good and punctual,1.0,good,1.0,good,1.0,good,1.0,hardworking,0.5,no views,0.7,0.7,0.7,0.7,0.0,0.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.6,0.3,0.7366666666666665
1.0,it is good,1.0,this semester university has provide best teachers,1.0,i like the question pattern,1.0,everything is going fine in lab learning new things that is good for us,0.5,i am satisfied with the facilities but few books are limited of database distribution,0.5,no idea about the extracurricular activities,0.7,1.0,0.0,0.41767676767676765,0.07619047619047618,0.0,0.8799999999999999,1.0,0.6,0.767070707070707,0.3304761904761905,0.3,0.6462578162578162
1.0,good,0.0,needs some improvement,1.0,good,1.0,good,0.0,its required some libral in rules,1.0,good it provides a great platform,0.7,0.0,0.7,0.7,0.0,0.75,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.0,0.9,0.59
1.0,good,0.0,needs some improvement,1.0,good,1.0,good,0.0,its required some libral in rules,1.0,good it provides a great platform,0.7,0.0,0.7,0.7,0.0,0.75,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.0,0.9,0.59
1.0,its good when compare with my btech lectures and teaching activities,0.5,knowledge and depth of the course is good but while coming to the material its not upto the mark,1.0,this university is far better than other university when coming to the exam patternmarks disturbation and while coming to paper checking no biased corrections equal to all,0.0,lab and practical are not upto the mark the topic which are practiced are almost already done in btech,1.0,good,1.0,while coming to extracurriculum activities its better than any other university which i had come around,0.7,0.7,0.11875,0.0,0.7,0.1875,0.8799999999999999,0.58,0.6475,0.0,0.8799999999999999,0.675,0.6104166666666666
1.0,good,0.5,knowledgedepth of course is good but course material are not upto the mark,1.0,great,0.0,not upto the mark,1.0,good,1.0,awesome,0.7,0.7,0.8,0.0,0.7,1.0,0.8799999999999999,0.58,0.92,0.0,0.8799999999999999,1.0,0.71
1.0,way of teaching is good,1.0,course content is knowledgeable,1.0,exam pattern is good and good paper checking,0.0,lab improves practical knowledge,1.0,good library facilities,1.0,ok,0.7,0.0,0.7,0.0,0.7,0.5,0.8799999999999999,0.6,0.8799999999999999,0.0,0.8799999999999999,0.8,0.6733333333333333
0.5,university teaching here is very much dependent upon slidesthough it is a easy way of teaching but still leaving some concepts unclearotherwise interaction with the faculty is goodlecture delivery sometimes is not upto the mark and punctuality is fine,0.0,content of the courses is good but some courses need improvement course material is not upto the mark,0.5,pattern and procedure of the examination is very good paper checking needed to be improved,0.5,sometimes systems at labs are screwed up otherwise everything is at their respected desk,1.0,library facilities are very good no issues,1.0,this university is no in terms of extracurricular activities and in encouraging students to participate at their comfort levels,0.37000000000000005,0.7,0.9099999999999999,0.0,0.9099999999999999,0.0,0.448,0.27999999999999997,0.6639999999999999,0.3,0.964,0.6,0.5426666666666666
1.0,good,1.0,good,1.0,good,1.0,good,1.0,hardworking,1.0,good,0.7,0.7,0.7,0.7,0.0,0.7,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.6,0.8799999999999999,0.8333333333333331
1.0,good,1.0,very good,1.0,excellent,1.0,good,1.0,good,1.0,good,0.7,0.9099999999999999,1.0,0.7,0.7,0.7,0.8799999999999999,0.964,1.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.9139999999999998
1.0,as compared to other colleges and university our university is perfect in all the aspects,0.0,material of the course is not good enough,1.0,good,1.0,practical work is fair,1.0,excellent,1.0,great job,0.4375,-0.175,0.7,0.7,1.0,0.8,0.775,-0.06999999999999999,0.8799999999999999,0.8799999999999999,1.0,0.92,0.7308333333333333
1.0,good,0.0,sometimes proper course material is not required,1.0,good,1.0,good,1.0,good,1.0,excellent,0.7,0.0,0.7,0.7,0.7,1.0,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,1.0,0.7533333333333333
1.0,lectures helps in clear our concept,1.0,easily available course material with sufficient knowledge gaining,1.0,good marks distribution students can easily check there performance throught the semester,1.0,practical and easy learning,1.0,good,1.0,its give various opportunities and exposure,0.10000000000000002,0.4,0.5666666666666667,0.43333333333333335,0.7,0.0,0.64,0.76,0.8266666666666667,0.7733333333333333,0.8799999999999999,0.6,0.7466666666666666
0.5,talk about punctuality its really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching so lack of knowledge in terms of subject is there and interaction is also kind of boring a teacher should be entertaining as well but they are really not all they want us to be studios and disciplined which is really not the thinking of every student,1.0,the materials or links provided for study purpose is good clarity in depth of courses but again it differs from teacher to teacher,0.5,exam pattern and how it is conducted is really seems to be good but its my first year and when i went to scrutiny for the first time it was not as per my expectations teachers have marked the answers as per their choice they must look for the content rather than the length of answers so poor paper checking is there,0.0,the evaluation is again bad for our ca as one of our faculty is really weird he gives us remarks on the basis of how we present things in front of it he never look for the content of our answer which is really annoying as he expects us to deliver answer in the way he wants us to do but how can a person do that as people do have different mentality and they do explain themselves in different manner so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say,0.5,again some of the faculties dont know how to behave otherwise it is good,0.5,this is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted so announcement must be there,0.03703703703703703,0.7,0.18333333333333335,-0.2571428571428571,0.7,0.32499999999999996,0.3148148148148148,0.8799999999999999,0.37333333333333335,-0.10285714285714286,0.58,0.42999999999999994,0.4125485008818342
1.0,university is very good at delivering proper lecturesalso the interaction with students is descent sometimes the teachers lack in terms of punctuality but overall university is giving a good input,1.0,the course notes are very knowledgeable and proper,1.0,descent,1.0,good,1.0,descent,1.0,good,0.40249999999999997,0.1,0.0,0.7,0.0,0.7,0.761,0.64,0.6,0.8799999999999999,0.6,0.8799999999999999,0.7268333333333333
1.0,good,1.0,good,1.0,excellect,1.0,good,1.0,good,1.0,good,0.7,0.7,0.0,0.7,0.7,0.7,0.8799999999999999,0.8799999999999999,0.6,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8333333333333331
1.0,good,1.0,good,1.0,excellect,1.0,good,1.0,good,1.0,good,0.7,0.7,0.0,0.7,0.7,0.7,0.8799999999999999,0.8799999999999999,0.6,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8333333333333331
1.0,lecturer are punctual and can interact them easily,1.0,content of the courses are update and mostly based on current technology,1.0,exam pattern and marks distribution is very well procedure,1.0,well and good infrastructure and have trending software in lab,1.0,library is very well managed and provide needed facilities to us,1.0,extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them,0.43333333333333335,0.25,0.2,0.7,0.2,0.0,0.7733333333333333,0.7,0.6799999999999999,0.8799999999999999,0.6799999999999999,0.6,0.7188888888888888
1.0,good,0.0,needs some improvement,1.0,good,1.0,good,0.0,its required some libral in rules,1.0,good it provides a great platform,0.7,0.0,0.7,0.7,0.0,0.75,0.8799999999999999,0.0,0.8799999999999999,0.8799999999999999,0.0,0.9,0.59
1.0,good,1.0,good,0.5,average,0.5,average,1.0,they are doing there job well,1.0,good,0.7,0.7,-0.15,-0.15,0.0,0.7,0.8799999999999999,0.8799999999999999,0.24,0.24,0.6,0.8799999999999999,0.62
0.5,punctuality is good most of the teachers are not interacting with students,0.0,teachers are not giving depth of course they trying to cover there work only,1.0,it is statisfactory,0.0,hours practical is so long it should be of hours only,0.0,well all the books are not avilable if they are in library books are in less number and strength of student are large,1.0,they are really very intersting all the students enjoys alot and get a chance to showcase there talent,0.6,0.0,0.0,-0.025,0.023809523809523808,0.2,0.54,0.0,0.6,-0.010000000000000002,0.009523809523809525,0.6799999999999999,0.3032539682539683
1.0,good,1.0,good,1.0,good,1.0,good,1.0,good,1.0,good,0.7,0.7,0.7,0.7,0.7,0.7,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999
1.0,nice,1.0,good,0.0,not so good,1.0,ok ok,0.0,all books are not available,1.0,awesome,0.6,0.7,0.7,0.5,-0.2,1.0,0.84,0.8799999999999999,0.27999999999999997,0.8,-0.08000000000000002,1.0,0.62
0.0,lecture delivery is not so good,1.0,every thing is fine,1.0,all good,0.0,practicle must be of hours,0.0,the system in library usually does not work so it creates a problem for us to issue the book,1.0,its good for refreshment,0.7,0.4166666666666667,0.7,0.0,-0.25,0.7,0.27999999999999997,0.7666666666666666,0.8799999999999999,0.0,-0.1,0.8799999999999999,0.451111111111111
1.0,its good,1.0,its appreciable,0.0,not that much good students are working so hard but they arent getting satisfactory result,1.0,its good also depends on teachers knowledge and students interest,0.0,sometimes only book is available for some subjects and it is reserved,1.0,its appreciable students who are having interest in co curricular activities getting a good platform,0.7,0.0,0.20416666666666664,0.7,0.2,0.7,0.8799999999999999,0.6,0.08166666666666667,0.8799999999999999,0.08000000000000002,0.8799999999999999,0.5669444444444444
1.0,discipline punctuality lecture delivery all are good but hv to do some work for quality of lecture,1.0,satisfied,0.5,all are good except paper checking it should be improved,1.0,all good,1.0,its very helpful,1.0,all good,0.7,0.5,0.7,0.7,0.2,0.7,0.8799999999999999,0.8,0.58,0.8799999999999999,0.6799999999999999,0.8799999999999999,0.7833333333333332
0.5,interaction is very goodaccurate supplement material is provided but recommendation of books is very poorthe change of a particular teacher after months or a semester of same subject causes problems,0.0,the books that are recommended do not contain appropriate content leads the students to depend on slides given by teachers hence the knowledge remains superficial,1.0,overall all these things are the plus point of the university,0.5,average,1.0,awesome peaceful relaxing atmosphere,0.5,good but lacks audienceas only participants can see these activities on duty leave basis,0.08,0.5,0.0,-0.15,0.625,0.35,0.33199999999999996,0.2,0.6,0.24,0.85,0.43999999999999995,0.44366666666666665
1.0,perfect,1.0,awesome,1.0,notbad,0.0,too much lanlb file work,0.0,all books are not available,1.0,perfect,1.0,1.0,0.0,0.2,-0.2,1.0,1.0,1.0,0.6,0.08000000000000002,-0.08000000000000002,1.0,0.6
1.0,it is really gud,1.0,it is proper,1.0,it is very gud,0.5,evaluation method is gudbut the content is more to write in file,0.0,i think number of books are very less according to the students only copies are available,1.0,all the activities are gud and appropriate for students,0.2,0.0,0.2,0.5,0.061111111111111116,0.5,0.6799999999999999,0.6,0.6799999999999999,0.5,0.02444444444444445,0.8,0.5474074074074075
0.5,very good teaching and management but too much load on student and working hours,1.0,courses are very good and useful,0.5,examination pattern is good but marks distribution very confusing,1.0,excellent,1.0,good,1.0,very good,0.5549999999999999,0.605,0.15499999999999997,1.0,0.7,0.9099999999999999,0.522,0.842,0.362,1.0,0.8799999999999999,0.964,0.7616666666666667
0.0,in terms of lecture delivery that is goodin terms of punctuality that is also good but in terms of intraction that is very bad there are some teachers they donot interact and do not litsn our problms that means they do not coprate,1.0,its good,1.0,exam pattren is good marks distribution is also good bt paper cheacking is very tight,1.0,its good,1.0,thats good,0.5,thats good but the problm is whenever in university the functions like one india one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important thanx,-0.10499999999999993,0.7,0.38928571428571423,0.7,0.7,0.381025641025641,-0.041999999999999975,0.8799999999999999,0.7557142857142857,0.8799999999999999,0.8799999999999999,0.4524102564102564,0.6343540903540903
1.0,according to me everything is going well in accordance to interactionmore than enough is served,1.0,everything is fine every thing is taught in deptheven a single point is elaborated enough to understand,1.0,everything is fine,0.5,i think electrotherapy practical should be of hoursthats enough i thinkrest is fine,0.0,i think stock is not enough more books are required,0.0,chance to go and enjoy should be giveni think it should be off when any activity like one india is there to go and enjoyotherwise everything is good,0.0,0.11507936507936507,0.4166666666666667,0.20833333333333334,0.25,0.55,0.6,0.646031746031746,0.7666666666666666,0.3833333333333333,0.1,0.22000000000000003,0.4526719576719577
0.5,very good teaching and management but too much load on student and working hours,1.0,courses are very good and useful,0.5,examination pattern is good but marks distribution very confusing,1.0,excellent,1.0,good,1.0,very good,0.5549999999999999,0.605,0.15499999999999997,1.0,0.7,0.9099999999999999,0.522,0.842,0.362,1.0,0.8799999999999999,0.964,0.7616666666666667
0.0,not effective and satisfactory in terms of lecture delivery by all the faculty,1.0,content is good enough,1.0,satisfactory,0.0,lab duration of hours is very long,1.0,very cooperative,0.0,extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events,-0.3,0.35,0.0,-0.065,0.2,0.4,-0.12,0.74,0.6,-0.026000000000000002,0.6799999999999999,0.16000000000000003,0.33899999999999997
1.0,good,1.0,good,1.0,good,0.5,average,1.0,nice,1.0,good,0.7,0.7,0.7,-0.15,0.6,0.7,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.24,0.84,0.8799999999999999,0.7666666666666666
1.0,good,1.0,good,1.0,good,1.0,good,1.0,good,1.0,good,0.7,0.7,0.7,0.7,0.7,0.7,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999
1.0,accurate,1.0,accurate,1.0,very good,1.0,good,1.0,satisfactory,1.0,good,0.4000000000000001,0.4000000000000001,0.9099999999999999,0.7,0.0,0.7,0.76,0.76,0.964,0.8799999999999999,0.6,0.8799999999999999,0.8073333333333332
1.0,its good,1.0,accurate,1.0,very good,1.0,its good,1.0,fine,1.0,good,0.7,0.4000000000000001,0.9099999999999999,0.7,0.4166666666666667,0.7,0.8799999999999999,0.76,0.964,0.8799999999999999,0.7666666666666666,0.8799999999999999,0.855111111111111
1.0,good,1.0,perfect,1.0,accurate,1.0,its good,1.0,fine,1.0,good,0.7,1.0,0.4000000000000001,0.7,0.4166666666666667,0.7,0.8799999999999999,1.0,0.76,0.8799999999999999,0.7666666666666666,0.8799999999999999,0.861111111111111
1.0,it is good depending on the faculty,1.0,the material provided is beneficial and provides much knowledge,0.5,it is neither too good nor too bad,1.0,lab evaluations are pretty good they help us a lot,1.0,library facilities provided are excellent,1.0,they are amazing and help to boost our stamina,0.7,0.2,5.551115123125783e-17,0.475,1.0,0.6000000000000001,0.8799999999999999,0.6799999999999999,0.3,0.79,1.0,0.8400000000000001,0.7483333333333334
1.0,maintained punctuality good lecture delivery,1.0,fully knowledgeable,1.0,exam pattern is good and good paper checking,1.0,having good material in labs,1.0,good facilities,1.0,increasing confidence,0.7,0.0,0.7,0.7,0.7,0.0,0.8799999999999999,0.6,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.6,0.7866666666666665
0.5,average,1.0,good,1.0,excellent,1.0,too much good,0.5,average,0.5,average,-0.15,0.7,1.0,0.7,-0.15,-0.15,0.24,0.8799999999999999,1.0,0.8799999999999999,0.24,0.24,0.5800000000000001
0.5,average,1.0,good,1.0,good,1.0,good,1.0,better,1.0,best,-0.15,0.7,0.7,0.7,0.5,1.0,0.24,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8,1.0,0.7799999999999999
1.0,good,1.0,well planned,1.0,good,0.5,average,1.0,excellent,1.0,good,0.7,0.0,0.7,-0.15,1.0,0.7,0.8799999999999999,0.6,0.8799999999999999,0.24,1.0,0.8799999999999999,0.7466666666666666
1.0,good,1.0,good,1.0,good,0.0,it is difficult to understand experiment in hour,1.0,good,1.0,good,0.7,0.7,0.7,-0.5,0.7,0.7,0.8799999999999999,0.8799999999999999,0.8799999999999999,-0.2,0.8799999999999999,0.8799999999999999,0.6999999999999998
1.0,good,1.0,good,1.0,good,1.0,good,1.0,good,1.0,good,0.7,0.7,0.7,0.7,0.7,0.7,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999
1.0,good,1.0,ok,1.0,good,1.0,good,0.0,some books are not available so please provide,1.0,ok,0.7,0.5,0.7,0.7,-0.2,0.5,0.8799999999999999,0.8,0.8799999999999999,0.8799999999999999,-0.08000000000000002,0.8,0.6933333333333332
0.5,average,1.0,good,1.0,good,1.0,good,1.0,there are doing there job good,1.0,good,-0.15,0.7,0.7,0.7,0.7,0.7,0.24,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.7733333333333333
1.0,good,0.5,average,1.0,excellent,1.0,lab work is also good,1.0,all are hardworking and punctual,0.5,average,0.7,-0.15,1.0,0.7,0.0,-0.15,0.8799999999999999,0.24,1.0,0.8799999999999999,0.6,0.24,0.64
1.0,it is quite good depending on teacher and their experience,1.0,content is very knowledgable and gives us huge knowledge of every subject,1.0,examination pattern marks paper checking is good,1.0,lab work is quite good,1.0,excellent,1.0,extracurricular activities are good,0.7,0.1444444444444445,0.7,0.7,1.0,0.7,0.8799999999999999,0.6577777777777778,0.8799999999999999,0.8799999999999999,1.0,0.8799999999999999,0.8629629629629628
1.0,it is quite good depends upon teacher and their experience,1.0,content is enough we donot need more,0.0,too many examination we are frustrated,0.5,lab activities are good but not satisfactory in explaining point of view,1.0,library is awesome and rich,0.5,good it is but teachers do not consider the new ones,0.7,0.25,-0.09999999999999998,0.7,0.6875,0.41818181818181815,0.8799999999999999,0.7,-0.039999999999999994,0.58,0.875,0.4672727272727273,0.5770454545454545
1.0,the way of teaching is good but the time more than enough,0.5,good quallity content but some teachers donot upload ppts on time,0.5,too much examinations,1.0,helps in improving skills,1.0,they are good,1.0,it is good,0.39999999999999997,0.7,0.2,0.0,0.7,0.7,0.76,0.58,0.38,0.6,0.8799999999999999,0.8799999999999999,0.68
1.0,good teaching delivery,1.0,course content is good,0.5,average,1.0,lab work is nice,1.0,library facility is good,1.0,extracurrcular activities held in university is good,0.7,0.7,-0.15,0.6,0.7,0.7,0.8799999999999999,0.8799999999999999,0.24,0.84,0.8799999999999999,0.8799999999999999,0.7666666666666666
1.0,good teacher is delivery the lecture in the best way they can,1.0,the content of the course is knowledgeable,1.0,examination including exam pattern is good in some waysmcqs shouls given to students for the preparation of exams,1.0,practical work including evaluations are good so that students can learn about practicals,1.0,library facilities are good for students,1.0,super the extracurricular activities held in university so that student can show the efforts in other fields,0.85,0.0,0.7,0.7,0.7,0.10416666666666666,0.94,0.6,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.6416666666666666,0.803611111111111
0.5,good and qualified teachers but few lacks in interaction with students and fails to describe a topic,0.5,subjects are appropriate but much depth is required as syllabus includes only basics not the details,0.0,the level of examination should be raised questions with reasoning must be included,1.0,laboratory provides us a good knowledge about practicals,1.0,very good library facilities issuing time of book must be increased,1.0,good and ample number of extracurricular activities take place,-1.850371707708594e-17,0.2333333333333333,0.0,0.7,0.9099999999999999,0.7,0.3,0.3933333333333333,0.0,0.8799999999999999,0.964,0.8799999999999999,0.5695555555555555
0.5,average,1.0,good,1.0,ok,1.0,good,1.0,good,1.0,good,-0.15,0.7,0.5,0.7,0.7,0.7,0.24,0.8799999999999999,0.8,0.8799999999999999,0.8799999999999999,0.8799999999999999,0.7599999999999999
